Название,Состав,Описание
Вуаль черная ,"Ткань чашки
86,8% полиамидное волокно
13,2% спандекс
Подкладка чашки
100% полиэстер
Резинка
84% полиамидное волокно
16% спандекс
Кружево
86,8% полиамидное волокно
13,2% спандекс
Ластовица
100% хлопок",
Корсет с плетением айвори стринги,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Подкладка чашки
100% полиэстер
Резинка
100% нейлон
Ластовица
100% хлопок",
Бордо,"Кружево
88% нейлон
12% спандекс
Подкладка чашки
100% полиэстер
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Нежный белый,"90% полиамид
10% эластан",
СМ ЧЕРНЫЙ,"79% полиамид
21% эластан",
СМ Бордо ,"79% полиамид
21% эластан",
С поясом Белый,"Кружево
90% нейлон
10% спандекс
Подкладка чашки
100% хлопок
Резинка 
100% нейлон
Сетка
85% нейлон
15% спандекс
Ластовица
100% хлопок",
С красивой спиной Черный ,"Ткань 
89% нейлон
11% спандекс
Подкладка чашки
100% полиэстер
Резинка
85% нейлон
15% спандекс
Кружево
85% нейлон
15% спандекс
Ластовица 
100% хлопок",
С красивой спинкой Айвори,"Ткань 
89% нейлон
11% спандекс
Подкладка чашки
100% полиэстер
Резинка
85% нейлон
15% спандекс
Кружево
85% нейлон
15% спандекс
Ластовица 
100% хлопок",
Аня чёрная,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок
Подкладка чашки
100% полиэстер
Резинка
91% нейлон
9% спандекс",
Классика красная,"Кружево
90,4% нейлон
9,6% спандекс
Подкладка чашки
63,5% полиэстер
36,5% хлопок
Резинка
90,4% нейлон
9,6% спандекс
Ластовица
100% хлопок",
С цветком на резинке Черный,"88% полиамид
12% эластан",
С цветком на резинке Бордо,"88% полиамид
12% эластан",
С цветком на резинке серебряный,"88% полиамид
12% эластан",
С цветком на резинке Мятный,"88% полиамид
12% эластан",
Под шею Черный,"90% полиамид
10% эластан",
Под шею Красный ,"90% полиамид
10% эластан",
Бордо чёрный,"Кружево
88% нейлон
12% спандекс
Подкладка чашки
100% полиэстер
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Анжелика айвори,"Кружево 
88% нейлон
12% спандекс
Подкладка чашки 
100% полиэстер
Боковая подкладка
100% хлопок
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Индия белая,"Ткань чашки
100% нейлон
Сетка
83% нейлон
17% спандекс
Ластовица
100% хлопок",
С поясом стринги,"Кружево
90% нейлон
10% спандекс
Подкладка чашки
100% хлопок
Резинка 
100% нейлон
Сетка
85% нейлон
15% спандекс
Ластовица
100% хлопок",
Корсет с плетением чёрный стринги,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Подкладка чашки
100% полиэстер
Резинка
100% нейлон
Ластовица
100% хлопок",
Корсет айвори стринги,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Подкладка чашки
100% полиэстер
Резинка
100% нейлон
Ластовица
100% хлопок",
Анжелика  айвори стринги,"Кружево 
88% нейлон
12% спандекс
Подкладка чашки 
100% полиэстер
Боковая подкладка
100% хлопок
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Пеньюар с цветком Беж,"Сетка
91% полиамид
9% спандекс
Кружево
90% полиамид
10% спандекс
Ластовица 
100% хлопок",
Пеньюар с плечиками Черный,"82% нейлон
18% эластан",
Кружевной комплект черный,"95% п/э
5% эластан",
С золотом синяя,не указан,
С золотом розовая,не указан,
Вуаль синяя,"Ткань чашки
86,8% полиамидное волокно
13,2% спандекс
Подкладка чашки
100% полиэстер
Резинка
84% полиамидное волокно
16% спандекс
Кружево
86,8% полиамидное волокно
13,2% спандекс
Ластовица
100% хлопок",
Топ с трусиками белый,"82% нейлон
18% спандекс",
Боди кружевное черное,"90% полиамид
10% эластан",
Вуаль айвори,"Ткань чашки
86,8% полиамидное волокно
13,2% спандекс
Подкладка чашки
100% полиэстер
Резинка
84% полиамидное волокно
16% спандекс
Кружево
86,8% полиамидное волокно
13,2% спандекс
Ластовица
100% хлопок",
Индия черная,"Ткань чашки
100% нейлон
Сетка
83% нейлон
17% спандекс
Ластовица
100% хлопок",
Комбез черный трио,,
Халат Синий с черным кружевом,,
Топ с трусиками черный,"82% нейлон
18% спандекс",
Атласная вуаль ,"Лиф
Ткань
88% нейлон
12% спандекс
Кружево
95% нейлон
5% спандес
Трусы
Кружево
86,8% полиамидное волокно
13,2% спандекс
Ластовица
100% хлопок",
Топ с плечиками синий,"90% полиамид
10% эластан",
Боди сетка чёрное,"90% полиамид
10% эластан",
Боди сетка белое,"90% полиамид
10% эластан",
Сетка черная,"90% полиамид
10% эластан",
Бордо белый,"Кружево
88% нейлон
12% спандекс
Подкладка чашки
100% полиэстер
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Халат в пол масло черный,,
Стрэпы,,
Треугольники красный,"90% полиамид
10% эластан",
С кружевными резинками на груди,,
Беж с цветком старый,"88% полиамид
12% эластан",
Бордо  пуш ап черный,"Кружево
88% нейлон
12% спандекс
Подкладка чашки
100% полиэстер
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
Бордо пуш ап бордовый,"Кружево
88% нейлон
12% спандекс
Подкладка чашки
100% полиэстер
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок",
С крылышками беж,"Кружево
82% нейлон
18% спандекс
Подкладка чашки
100% полиэстер
Резинка
91% нейлон
9% спандекс
Ткань 
89% нейлон
11% спандекс
Ластовица
100% хлопок",
Топ с плечиками черный,"90% полиамид
10% эластан",
Аня белая,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок
Подкладка чашки
100% полиэстер
Резинка
91% нейлон
9% спандекс",
Серый с розовым халат,,
Комбез голубой,,
Крылья комбез черный,,
Крылья халат черный,,
Пеньюар с бантом черный,не указан,
Пеньюар с бантом белый,не указан,
Пеньюар с бантом красный,не указан,
Барби розовый,,
Барби синий,,
Фатиновый набор белый,,
Халат на  пуговицах черный,,
Нежный бордо,"90% полиамид
10% эластан",
Нежный мятный,"90% полиамид
10% эластан",
Нежный розовый,"90% полиамид
10% эластан",
Комплект с плечиками чёрный ,,
Новый длинный Черный,"88% полиамид
12% эластан",
Аня бордо,"Кружево
88% нейлон
12% спандекс
Сетка
91% нейлон
9% спандекс
Ластовица
100% хлопок
Подкладка чашки
100% полиэстер
Резинка
91% нейлон
9% спандекс",
Классика чёрная,"Кружево
90,4% нейлон
9,6% спандекс
Подкладка чашки
63,5% полиэстер
36,5% хлопок
Резинка
90,4% нейлон
9,6% спандекс
Ластовица
100% хлопок",
Классика бежевая,"Кружево
90,4% нейлон
9,6% спандекс
Подкладка чашки
63,5% полиэстер
36,5% хлопок
Резинка
90,4% нейлон
9,6% спандекс
Ластовица
100% хлопок",
Классика бордо,"Кружево
90,4% нейлон
9,6% спандекс
Подкладка чашки
63,5% полиэстер
36,5% хлопок
Резинка
90,4% нейлон
9,6% спандекс
Ластовица
100% хлопок",
Классика синяя,"Кружево
90,4% нейлон
9,6% спандекс
Подкладка чашки
63,5% полиэстер
36,5% хлопок
Резинка
90,4% нейлон
9,6% спандекс
Ластовица
100% хлопок",
Пеньюар с плечиками белый,"82% нейлон
18% эластан",
Костюм зайка розовый,"Кофта и шорты
95% полиэстер
5% лайкра
Футболка
92% хлопок
8% лайкра",
С крылышками черный,"Кружево
82% нейлон
18% спандекс
Подкладка чашки
100% полиэстер
Резинка
91% нейлон
9% спандекс
Ткань 
89% нейлон
11% спандекс
Ластовица
100% хлопок",
Портупеи обычные,,
Портупеи совместные черный,,
портупеи совместные белые,,
Крылья комбез бордо,"95% полиэстер
5% лайкра",
Халат бежевый с черным,,
Сорочка сирень,"90% вискоза
10% лайкра",
Сорочка черная,"90% вискоза
10% лайкра",
